step,strategy,k_max,n,dir_top1_acc,mag_abs_err,state_err,direction_cosine
11,argmax,16,100,0.02,2767.0925941844425,5328.643656590283,-0.07520566665940567
12,argmax,16,100,0.0,1619.4462930823327,4726.527295289337,0.09729877817483791
13,argmax,16,100,0.01,0.8446356051508337,4726.41800903514,-0.044409526323894326
14,argmax,16,100,0.01,1.8478007902082754,4727.086000074446,-0.06623955814233437
15,argmax,16,100,0.04,1.0498297026334331,4727.448451510668,0.03615914610971691
16,argmax,16,100,0.03,0.8416906536337047,4727.198151711524,-0.07085619071004887
1,categorical,1,100,0.08,0.6391608551889658,0.8865302870422602,0.5575696323287817
1,categorical,2,100,0.05,0.5585427776537836,0.8526857109274715,0.5008353200636332
2,categorical,2,100,0.07,0.5385392657946795,1.3008408607169986,0.4798888624116227
1,categorical,4,100,0.07,0.5682757460791618,0.9063835552707314,0.45509800695819463
2,categorical,4,100,0.07,0.5491175137273967,1.3201893129944802,0.5195635265810067
3,categorical,4,100,0.02,1.3569880272913724,2.002185251414776,0.06084530728123867
4,categorical,4,100,0.0,7.1567400993418415,7.460255912840366,0.025791925218803816
1,categorical,8,100,0.07,0.6544206213857978,0.9224607458245009,0.54055848307012
2,categorical,8,100,0.14,0.5754770436696708,1.2555027920380235,0.472134578082369
3,categorical,8,100,0.02,79.530650477577,80.18797335259616,0.0225650368678323
4,categorical,8,100,0.0,2356.284856273215,2279.0438821652533,0.058201245228828774
5,categorical,8,100,0.01,8128.572638636622,5970.212553077788,-0.011730970996925856
6,categorical,8,100,0.01,4905.941841340885,2852.199010103941,0.056704858940879496
7,categorical,8,100,0.0,16124.012475578798,17589.533074315787,0.07922058551634956
8,categorical,8,100,0.0,13696.365639902677,26320.66408459872,-0.048523815634203514
1,categorical,16,100,0.06,0.5523411592189222,0.8554571796301752,0.5231979374712643
2,categorical,16,100,0.1,0.6468362876027822,1.3365586270578205,0.424142473342739
3,categorical,16,100,0.01,1.4210483495146036,2.1163371317088604,0.13167203747512063
4,categorical,16,100,0.01,1391.8420209515932,1391.9825654764472,-0.058965844239072515
5,categorical,16,100,0.01,4933.672679785132,6306.172332721949,0.12874923274788116
