2026-02-06 18:16:09 | INFO     | phase0 | [vae_train] step=9100/10000 loss=7.3565 recon=6.6626 kl=69.3904 smooth=0.0000 pred=0.0000
2026-02-06 18:16:30 | INFO     | phase0 | [vae_train] step=9200/10000 loss=7.3369 recon=6.6581 kl=67.8712 smooth=0.0000 pred=0.0000
2026-02-06 18:16:50 | INFO     | phase0 | [vae_train] step=9300/10000 loss=7.3101 recon=6.6526 kl=65.7474 smooth=0.0000 pred=0.0000
2026-02-06 18:17:11 | INFO     | phase0 | [vae_train] step=9400/10000 loss=7.3015 recon=6.6516 kl=64.9914 smooth=0.0000 pred=0.0000
2026-02-06 18:17:32 | INFO     | phase0 | [vae_train] step=9500/10000 loss=7.3513 recon=6.7007 kl=65.0568 smooth=0.0000 pred=0.0000
2026-02-06 18:17:52 | INFO     | phase0 | [vae_train] step=9600/10000 loss=7.3371 recon=6.6796 kl=65.7512 smooth=0.0000 pred=0.0000
2026-02-06 18:18:12 | INFO     | phase0 | [vae_train] step=9700/10000 loss=7.3450 recon=6.6819 kl=66.3080 smooth=0.0000 pred=0.0000
2026-02-06 18:18:32 | INFO     | phase0 | [vae_train] step=9800/10000 loss=7.2664 recon=6.6237 kl=64.2707 smooth=0.0000 pred=0.0000
2026-02-06 18:18:53 | INFO     | phase0 | [vae_train] step=9900/10000 loss=7.2874 recon=6.6416 kl=64.5840 smooth=0.0000 pred=0.0000
2026-02-06 18:19:13 | INFO     | phase0 | [vae_train] step=10000/10000 loss=7.2752 recon=6.6246 kl=65.0615 smooth=0.0000 pred=0.0000
2026-02-06 18:19:14 | INFO     | phase0 | [vae_train] Done. Final checkpoint: outputs/tier2/exp5_betavae/20260206_174326/baseline_betavae/checkpoints/vae_final.pt
2026-02-06 18:19:14 | INFO     | phase0 | [exp5] VAE training done: outputs/tier2/exp5_betavae/20260206_174326/baseline_betavae/checkpoints/vae_final.pt
2026-02-06 18:19:14 | INFO     | phase0 | [exp5] Extracting VAE latents for baseline_betavae...
2026-02-06 18:19:16 | INFO     | phase0 | [vae_extract] 50/5000 utterances extracted
2026-02-06 18:19:18 | INFO     | phase0 | [vae_extract] 100/5000 utterances extracted
2026-02-06 18:19:20 | INFO     | phase0 | [vae_extract] 150/5000 utterances extracted
2026-02-06 18:19:22 | INFO     | phase0 | [vae_extract] 200/5000 utterances extracted
2026-02-06 18:19:24 | INFO     | phase0 | [vae_extract] 250/5000 utterances extracted
2026-02-06 18:19:26 | INFO     | phase0 | [vae_extract] 300/5000 utterances extracted
2026-02-06 18:19:28 | INFO     | phase0 | [vae_extract] 350/5000 utterances extracted
2026-02-06 18:19:30 | INFO     | phase0 | [vae_extract] 400/5000 utterances extracted
2026-02-06 18:19:32 | INFO     | phase0 | [vae_extract] 450/5000 utterances extracted
2026-02-06 18:19:33 | INFO     | phase0 | [vae_extract] 500/5000 utterances extracted
2026-02-06 18:19:35 | INFO     | phase0 | [vae_extract] 550/5000 utterances extracted
2026-02-06 18:19:37 | INFO     | phase0 | [vae_extract] 600/5000 utterances extracted
2026-02-06 18:19:39 | INFO     | phase0 | [vae_extract] 650/5000 utterances extracted
2026-02-06 18:19:41 | INFO     | phase0 | [vae_extract] 700/5000 utterances extracted
2026-02-06 18:19:42 | INFO     | phase0 | [vae_extract] 750/5000 utterances extracted
2026-02-06 18:19:44 | INFO     | phase0 | [vae_extract] 800/5000 utterances extracted
2026-02-06 18:19:46 | INFO     | phase0 | [vae_extract] 850/5000 utterances extracted
2026-02-06 18:19:48 | INFO     | phase0 | [vae_extract] 900/5000 utterances extracted
2026-02-06 18:19:50 | INFO     | phase0 | [vae_extract] 950/5000 utterances extracted
2026-02-06 18:19:52 | INFO     | phase0 | [vae_extract] 1000/5000 utterances extracted
2026-02-06 18:19:54 | INFO     | phase0 | [vae_extract] 1050/5000 utterances extracted
2026-02-06 18:19:56 | INFO     | phase0 | [vae_extract] 1100/5000 utterances extracted
2026-02-06 18:19:58 | INFO     | phase0 | [vae_extract] 1150/5000 utterances extracted
2026-02-06 18:20:00 | INFO     | phase0 | [vae_extract] 1200/5000 utterances extracted
2026-02-06 18:20:02 | INFO     | phase0 | [vae_extract] 1250/5000 utterances extracted
2026-02-06 18:20:04 | INFO     | phase0 | [vae_extract] 1300/5000 utterances extracted
2026-02-06 18:20:06 | INFO     | phase0 | [vae_extract] 1350/5000 utterances extracted
2026-02-06 18:20:08 | INFO     | phase0 | [vae_extract] 1400/5000 utterances extracted
2026-02-06 18:20:10 | INFO     | phase0 | [vae_extract] 1450/5000 utterances extracted
2026-02-06 18:20:12 | INFO     | phase0 | [vae_extract] 1500/5000 utterances extracted
2026-02-06 18:20:13 | INFO     | phase0 | [vae_extract] 1550/5000 utterances extracted
2026-02-06 18:20:15 | INFO     | phase0 | [vae_extract] 1600/5000 utterances extracted
2026-02-06 18:20:17 | INFO     | phase0 | [vae_extract] 1650/5000 utterances extracted
2026-02-06 18:20:19 | INFO     | phase0 | [vae_extract] 1700/5000 utterances extracted
2026-02-06 18:20:21 | INFO     | phase0 | [vae_extract] 1750/5000 utterances extracted
2026-02-06 18:20:23 | INFO     | phase0 | [vae_extract] 1800/5000 utterances extracted
2026-02-06 18:20:25 | INFO     | phase0 | [vae_extract] 1850/5000 utterances extracted
2026-02-06 18:20:26 | INFO     | phase0 | [vae_extract] 1900/5000 utterances extracted
2026-02-06 18:20:28 | INFO     | phase0 | [vae_extract] 1950/5000 utterances extracted
2026-02-06 18:20:30 | INFO     | phase0 | [vae_extract] 2000/5000 utterances extracted
2026-02-06 18:20:32 | INFO     | phase0 | [vae_extract] 2050/5000 utterances extracted
2026-02-06 18:20:34 | INFO     | phase0 | [vae_extract] 2100/5000 utterances extracted
2026-02-06 18:20:36 | INFO     | phase0 | [vae_extract] 2150/5000 utterances extracted
2026-02-06 18:20:38 | INFO     | phase0 | [vae_extract] 2200/5000 utterances extracted
2026-02-06 18:20:40 | INFO     | phase0 | [vae_extract] 2250/5000 utterances extracted
2026-02-06 18:20:42 | INFO     | phase0 | [vae_extract] 2300/5000 utterances extracted
2026-02-06 18:20:44 | INFO     | phase0 | [vae_extract] 2350/5000 utterances extracted
2026-02-06 18:20:46 | INFO     | phase0 | [vae_extract] 2400/5000 utterances extracted
2026-02-06 18:20:48 | INFO     | phase0 | [vae_extract] 2450/5000 utterances extracted
2026-02-06 18:20:50 | INFO     | phase0 | [vae_extract] 2500/5000 utterances extracted
2026-02-06 18:20:52 | INFO     | phase0 | [vae_extract] 2550/5000 utterances extracted
2026-02-06 18:20:54 | INFO     | phase0 | [vae_extract] 2600/5000 utterances extracted
2026-02-06 18:20:55 | INFO     | phase0 | [vae_extract] 2650/5000 utterances extracted
2026-02-06 18:20:57 | INFO     | phase0 | [vae_extract] 2700/5000 utterances extracted
2026-02-06 18:20:59 | INFO     | phase0 | [vae_extract] 2750/5000 utterances extracted
2026-02-06 18:21:01 | INFO     | phase0 | [vae_extract] 2800/5000 utterances extracted
2026-02-06 18:21:03 | INFO     | phase0 | [vae_extract] 2850/5000 utterances extracted
2026-02-06 18:21:05 | INFO     | phase0 | [vae_extract] 2900/5000 utterances extracted
2026-02-06 18:21:07 | INFO     | phase0 | [vae_extract] 2950/5000 utterances extracted
2026-02-06 18:21:09 | INFO     | phase0 | [vae_extract] 3000/5000 utterances extracted
2026-02-06 18:21:11 | INFO     | phase0 | [vae_extract] 3050/5000 utterances extracted
2026-02-06 18:21:13 | INFO     | phase0 | [vae_extract] 3100/5000 utterances extracted
2026-02-06 18:21:15 | INFO     | phase0 | [vae_extract] 3150/5000 utterances extracted
2026-02-06 18:21:17 | INFO     | phase0 | [vae_extract] 3200/5000 utterances extracted
2026-02-06 18:21:18 | INFO     | phase0 | [vae_extract] 3250/5000 utterances extracted
2026-02-06 18:21:20 | INFO     | phase0 | [vae_extract] 3300/5000 utterances extracted
2026-02-06 18:21:22 | INFO     | phase0 | [vae_extract] 3350/5000 utterances extracted
2026-02-06 18:21:24 | INFO     | phase0 | [vae_extract] 3400/5000 utterances extracted
2026-02-06 18:21:26 | INFO     | phase0 | [vae_extract] 3450/5000 utterances extracted
2026-02-06 18:21:28 | INFO     | phase0 | [vae_extract] 3500/5000 utterances extracted
2026-02-06 18:21:30 | INFO     | phase0 | [vae_extract] 3550/5000 utterances extracted
2026-02-06 18:21:32 | INFO     | phase0 | [vae_extract] 3600/5000 utterances extracted
2026-02-06 18:21:34 | INFO     | phase0 | [vae_extract] 3650/5000 utterances extracted
2026-02-06 18:21:36 | INFO     | phase0 | [vae_extract] 3700/5000 utterances extracted
2026-02-06 18:21:38 | INFO     | phase0 | [vae_extract] 3750/5000 utterances extracted
2026-02-06 18:21:40 | INFO     | phase0 | [vae_extract] 3800/5000 utterances extracted
2026-02-06 18:21:42 | INFO     | phase0 | [vae_extract] 3850/5000 utterances extracted
2026-02-06 18:21:44 | INFO     | phase0 | [vae_extract] 3900/5000 utterances extracted
2026-02-06 18:21:46 | INFO     | phase0 | [vae_extract] 3950/5000 utterances extracted
2026-02-06 18:21:48 | INFO     | phase0 | [vae_extract] 4000/5000 utterances extracted
2026-02-06 18:21:50 | INFO     | phase0 | [vae_extract] 4050/5000 utterances extracted
2026-02-06 18:21:51 | INFO     | phase0 | [vae_extract] 4100/5000 utterances extracted
2026-02-06 18:21:53 | INFO     | phase0 | [vae_extract] 4150/5000 utterances extracted
2026-02-06 18:21:55 | INFO     | phase0 | [vae_extract] 4200/5000 utterances extracted
2026-02-06 18:21:57 | INFO     | phase0 | [vae_extract] 4250/5000 utterances extracted
2026-02-06 18:21:59 | INFO     | phase0 | [vae_extract] 4300/5000 utterances extracted
2026-02-06 18:22:01 | INFO     | phase0 | [vae_extract] 4350/5000 utterances extracted
2026-02-06 18:22:03 | INFO     | phase0 | [vae_extract] 4400/5000 utterances extracted
2026-02-06 18:22:05 | INFO     | phase0 | [vae_extract] 4450/5000 utterances extracted
2026-02-06 18:22:07 | INFO     | phase0 | [vae_extract] 4500/5000 utterances extracted
2026-02-06 18:22:09 | INFO     | phase0 | [vae_extract] 4550/5000 utterances extracted
2026-02-06 18:22:10 | INFO     | phase0 | [vae_extract] 4600/5000 utterances extracted
2026-02-06 18:22:12 | INFO     | phase0 | [vae_extract] 4650/5000 utterances extracted
2026-02-06 18:22:14 | INFO     | phase0 | [vae_extract] 4700/5000 utterances extracted
2026-02-06 18:22:16 | INFO     | phase0 | [vae_extract] 4750/5000 utterances extracted
2026-02-06 18:22:18 | INFO     | phase0 | [vae_extract] 4800/5000 utterances extracted
2026-02-06 18:22:20 | INFO     | phase0 | [vae_extract] 4850/5000 utterances extracted
2026-02-06 18:22:22 | INFO     | phase0 | [vae_extract] 4900/5000 utterances extracted
2026-02-06 18:22:24 | INFO     | phase0 | [vae_extract] 4950/5000 utterances extracted
2026-02-06 18:22:26 | INFO     | phase0 | [vae_extract] 5000/5000 utterances extracted
2026-02-06 18:22:26 | INFO     | phase0 | [vae_extract] Done. 5000 utterances -> outputs/tier2/exp5_betavae/20260206_174326/baseline_betavae/latents.zarr
2026-02-06 18:22:32 | INFO     | phase0 | [vae_extract] Built frames index: 747279 frames -> outputs/tier2/exp5_betavae/20260206_174326/baseline_betavae/phase0_frames.parquet
2026-02-06 18:22:32 | INFO     | phase0 | [exp5] Phase 1 diagnostic battery for baseline_betavae...
2026-02-06 18:22:39 | INFO     | phase0 | [phase1] model=mdn k=1 slice=all device=cuda batch=256 steps=15000
2026-02-06 18:22:41 | INFO     | phase0 | [phase1] k=1 step=200/15000 train_nll=-50.9939
2026-02-06 18:22:43 | INFO     | phase0 | [phase1] k=1 step=400/15000 train_nll=-51.4508
2026-02-06 18:22:45 | INFO     | phase0 | [phase1] k=1 step=600/15000 train_nll=-53.0793
2026-02-06 18:22:46 | INFO     | phase0 | [phase1] k=1 step=800/15000 train_nll=-51.2783
2026-02-06 18:22:48 | INFO     | phase0 | [phase1] k=1 step=1000/15000 train_nll=-50.7040
2026-02-06 18:22:50 | INFO     | phase0 | [phase1] k=1 step=1200/15000 train_nll=-58.0516
2026-02-06 18:22:52 | INFO     | phase0 | [phase1] k=1 step=1400/15000 train_nll=-55.2624
2026-02-06 18:22:53 | INFO     | phase0 | [phase1] k=1 step=1600/15000 train_nll=-60.0657
2026-02-06 18:22:55 | INFO     | phase0 | [phase1] k=1 step=1800/15000 train_nll=-52.1383
2026-02-06 18:22:57 | INFO     | phase0 | [phase1] k=1 step=2000/15000 train_nll=-53.9810
2026-02-06 18:23:05 | INFO     | phase0 | [phase1] k=1 step=2000 eval_dnll=-38.4488 nll=-54.5203 baseline=-16.0715
2026-02-06 18:23:06 | INFO     | phase0 | [phase1] k=1 step=2200/15000 train_nll=-58.9871
2026-02-06 18:23:08 | INFO     | phase0 | [phase1] k=1 step=2400/15000 train_nll=-56.1869
2026-02-06 18:23:10 | INFO     | phase0 | [phase1] k=1 step=2600/15000 train_nll=-57.2942
2026-02-06 18:23:11 | INFO     | phase0 | [phase1] k=1 step=2800/15000 train_nll=-54.4121
