k1,k2,seed,kind,theta_weighted_mean_deg,theta_unweighted_mean_deg,n_deltas_used,n_states_used,repeat
256,16,22,shuffled,61.80542262681364,61.70036315917969,817279,256,0.0
256,16,22,shuffled,61.82574330347843,61.721923828125,817279,256,1.0
256,16,22,shuffled,61.80893866243553,61.72120666503906,817279,256,2.0
256,16,22,shuffled,61.846694163945635,61.73216247558594,817279,256,3.0
256,16,22,shuffled,61.80638714536127,61.70551681518555,817279,256,4.0
256,16,22,random,69.29064467215481,69.06560516357422,817279,256,
256,32,22,data,43.30239023744447,42.03338623046875,817279,256,
256,32,22,shuffled,57.42112437586174,57.25568389892578,817279,256,0.0
256,32,22,shuffled,57.40688920311175,57.24668502807617,817279,256,1.0
256,32,22,shuffled,57.41737676376657,57.25030517578125,817279,256,2.0
256,32,22,shuffled,57.405900222227864,57.23670959472656,817279,256,3.0
256,32,22,shuffled,57.40042121262417,57.237205505371094,817279,256,4.0
256,32,22,random,65.55365270640266,65.23236083984375,817279,256,
256,64,22,data,40.6644712365418,39.39805603027344,817279,256,
256,64,22,shuffled,53.211718336812815,52.933067321777344,817279,256,0.0
256,64,22,shuffled,53.21576636524085,52.93766403198242,817279,256,1.0
256,64,22,shuffled,53.21905564123482,52.9419059753418,817279,256,2.0
256,64,22,shuffled,53.224819556292175,52.942527770996094,817279,256,3.0
256,64,22,shuffled,53.210154281892365,52.93341064453125,817279,256,4.0
256,64,22,random,61.62124836144045,61.15165710449219,817279,256,
256,4,33,data,51.69716322015556,50.23307800292969,817279,256,
256,4,33,shuffled,71.245180345247,71.2025146484375,817279,256,0.0
256,4,33,shuffled,71.26246581560126,71.20568084716797,817279,256,1.0
256,4,33,shuffled,71.25284338667406,71.19463348388672,817279,256,2.0
256,4,33,shuffled,71.22060104838759,71.17242431640625,817279,256,3.0
256,4,33,shuffled,71.24889252061516,71.20333099365234,817279,256,4.0
256,4,33,random,76.97289186062513,76.84209442138672,817279,256,
256,8,33,data,48.70324516657889,47.3290901184082,817279,256,
256,8,33,shuffled,66.37986087067783,66.29466247558594,817279,256,0.0
256,8,33,shuffled,66.34805462537017,66.27140808105469,817279,256,1.0
256,8,33,shuffled,66.37455215937474,66.29241943359375,817279,256,2.0
256,8,33,shuffled,66.38382308019597,66.29876708984375,817279,256,3.0
256,8,33,shuffled,66.33671989425095,66.2525634765625,817279,256,4.0
256,8,33,random,73.05996111356217,72.87258911132812,817279,256,
256,16,33,data,45.90962650150518,44.59407043457031,817279,256,
256,16,33,shuffled,61.782428403561205,61.65172576904297,817279,256,0.0
256,16,33,shuffled,61.810044843343036,61.66786193847656,817279,256,1.0
256,16,33,shuffled,61.795487757690374,61.65951919555664,817279,256,2.0
256,16,33,shuffled,61.789339574364604,61.65827941894531,817279,256,3.0
256,16,33,shuffled,61.80843228087108,61.669376373291016,817279,256,4.0
256,16,33,random,69.29198516412721,69.03621673583984,817279,256,
256,32,33,data,43.27700829618438,41.98445129394531,817279,256,
256,32,33,shuffled,57.42297622154294,57.19789123535156,817279,256,0.0
256,32,33,shuffled,57.419430768589066,57.19879913330078,817279,256,1.0
256,32,33,shuffled,57.42911591830046,57.199153900146484,817279,256,2.0
256,32,33,shuffled,57.42636020416833,57.205013275146484,817279,256,3.0
256,32,33,shuffled,57.404863148663715,57.187896728515625,817279,256,4.0
256,32,33,random,65.53322786981687,65.1514892578125,817279,256,
256,64,33,data,40.64472029318734,39.338233947753906,817279,256,
256,64,33,shuffled,53.219548854681854,52.850948333740234,817279,256,0.0
256,64,33,shuffled,53.23517345764769,52.87139129638672,817279,256,1.0
256,64,33,shuffled,53.2140103543749,52.84321975708008,817279,256,2.0
256,64,33,shuffled,53.22902405533777,52.860984802246094,817279,256,3.0
256,64,33,shuffled,53.22506067329867,52.846282958984375,817279,256,4.0
256,64,33,random,61.61982794517301,61.05306625366211,817279,256,
512,4,11,data,50.24510340769675,48.936798095703125,817279,512,
512,4,11,shuffled,71.09252919722263,71.010009765625,817279,512,0.0
