state,n_deltas,theta_mean_deg,theta_mean_deg_shuffled
707,677,44.2176,71.08517
708,295,41.25796,69.22138
709,710,45.51719,70.686325
710,350,45.309353,69.46243
711,378,48.892494,69.375206
712,485,50.23964,69.90282
713,343,48.132915,70.447044
714,373,41.108,69.76779
715,282,40.220825,69.850914
716,326,46.561764,70.87447
717,275,42.398743,68.71521
718,386,53.0962,69.351524
719,268,40.55267,69.384445
720,652,50.203537,70.24429
721,209,52.949993,68.785286
722,382,40.23573,69.61081
723,554,42.320522,70.53853
724,212,28.066921,69.31908
725,320,38.767223,69.26985
726,217,34.888268,69.86719
727,384,50.242756,70.19638
728,459,52.344845,70.29576
729,533,52.166634,70.590866
730,553,47.55152,70.76288
731,201,46.775528,69.0018
732,250,42.44238,69.2984
733,407,43.582165,70.1343
734,348,52.25842,69.07922
735,360,46.551266,69.92162
736,326,38.12297,70.4753
737,591,48.55877,69.90598
738,529,48.426758,69.57622
739,289,48.007668,69.30505
740,420,46.76716,70.18028
741,296,52.369015,69.42638
742,251,42.438694,69.92642
743,432,49.15759,71.0444
744,373,43.592724,70.447876
745,194,46.897522,68.79312
746,467,42.672043,70.84904
747,534,55.104713,71.10794
748,476,55.487747,70.997604
749,339,52.657913,70.237335
750,279,49.121655,70.18326
751,492,45.269333,70.41601
752,745,49.79764,70.53599
753,395,36.167995,70.29226
754,310,42.565613,69.85533
755,384,46.94035,70.02476
756,231,56.152145,67.989624
757,497,51.658123,70.46877
758,433,49.164043,70.32822
759,449,41.157997,70.811714
760,374,36.822643,68.93312
761,235,52.488647,69.06728
762,424,45.204,69.78679
763,223,36.661835,69.37874
764,390,49.011364,69.92262
765,485,44.933094,70.24784
766,471,49.361263,70.79752
767,385,45.116585,69.493355
768,704,56.58505,70.53133
769,225,42.08534,68.84015
770,323,41.94498,69.457275
771,582,48.840214,70.235634
772,264,43.56279,69.2282
773,413,49.970592,69.63068
774,497,54.407803,70.55793
775,298,46.99973,69.81644
776,660,52.793686,70.85789
777,295,46.737007,68.8693
778,293,39.365932,69.47403
779,203,38.1005,69.55828
780,162,41.846073,67.532
781,486,49.628426,70.31896
782,514,53.141438,69.613815
783,480,48.330273,70.87798
784,351,44.475143,70.20932
785,426,44.533615,70.13699
786,234,46.973946,69.49147
787,309,50.14708,70.19056
788,221,47.279625,68.91949
789,533,54.929283,70.64879
790,429,50.961582,70.54194
791,467,48.237328,70.33245
792,722,48.572308,71.327965
793,469,49.544983,70.6316
794,507,39.461143,71.07737
795,172,45.72418,67.79935
796,432,45.559505,70.5987
797,614,56.33506,71.59662
798,506,50.483555,70.23073
799,588,47.11101,70.61482
800,346,47.50227,70.913506
801,499,40.261635,69.85613
802,565,57.991337,71.00891
803,176,22.06082,67.44128
804,786,47.54444,69.974106
805,330,42.990547,70.2121
806,463,38.94997,70.83335
807,249,43.236374,70.251465
808,272,52.25257,71.20187
809,568,49.875576,70.95442
810,115,36.77602,67.76023
811,292,46.957108,68.634796
812,494,40.47072,71.128174
813,471,42.69342,70.296234
814,418,43.635487,69.80397
815,412,47.52123,70.89697
816,411,48.951187,70.878876
817,419,40.674335,70.66676
818,131,40.557384,67.85785
819,341,44.055313,69.78846
820,682,43.161747,69.67329
821,269,42.58559,69.91557
822,603,53.92298,71.17982
823,603,48.85106,70.47949
824,141,34.464912,66.56099
825,335,48.66403,69.8263
826,345,44.42813,69.97173
827,270,51.779724,69.666794
828,450,48.135983,70.11408
829,219,42.538948,68.991486
830,340,47.94823,69.86952
831,627,51.259663,69.38205
832,356,50.141342,70.14891
833,666,47.52314,71.246666
834,319,52.933865,69.98413
835,309,43.86968,69.61468
836,517,51.830902,70.46872
837,281,56.09699,69.661285
838,497,55.774693,70.646515
839,173,39.06268,67.413994
840,201,39.15564,70.05363
841,316,47.925415,69.046135
842,268,49.554337,69.7489
843,647,48.18098,71.59899
844,341,57.7624,70.25886
845,405,50.546093,70.36645
846,390,48.721195,69.95411
847,446,39.20965,69.62373
848,425,47.74666,69.87002
849,452,50.100204,69.70267
850,564,52.4086,70.57762
851,192,45.47,68.28219
852,186,18.538101,69.076836
853,746,50.79895,70.56362
854,661,48.27,70.42291
855,417,57.603878,70.29214
856,402,42.485416,70.83839
857,313,49.739864,70.49909
858,309,49.010002,68.93454
859,906,58.45524,71.229004
860,277,40.581543,69.542465
861,272,47.34103,69.092476
862,228,36.807144,69.381516
863,250,47.50441,69.96225
864,504,47.57231,69.06471
865,341,37.75133,69.11147
866,318,47.40539,70.1539
867,490,53.59823,70.22559
868,305,50.877586,69.33846
869,342,38.485558,69.16747
870,20,,
871,560,55.91105,71.43299
872,187,34.557938,68.79019
873,143,42.44917,68.74678
874,538,48.06864,70.73053
875,536,48.223274,70.16955
876,425,49.31997,69.59537
877,281,49.598427,69.65782
878,425,50.618713,70.65977
879,1110,53.246742,70.54426
880,743,56.370686,71.31525
881,389,48.707565,70.97698
882,184,47.867943,69.50398
883,494,49.524475,70.420654
884,394,48.93677,69.91084
885,251,44.26567,69.71903
886,445,45.01344,69.22206
887,279,50.16262,69.699745
888,371,52.350372,70.3333
889,90,38.031174,65.963196
890,440,37.747177,69.91614
891,413,58.01255,70.738884
892,156,45.381786,69.51391
893,398,50.348877,70.14838
894,493,56.55006,69.755684
895,489,45.495007,69.450134
896,281,41.65214,69.38931
897,390,45.956867,69.90216
898,258,43.150806,68.45854
899,463,49.41843,71.003716
900,298,39.761875,69.124435
901,384,42.20015,69.87525
902,611,55.219753,70.58668
903,476,51.152,70.6793
904,224,43.55424,68.88621
905,438,51.28515,69.80828
906,502,56.32249,70.20426
907,329,38.51265,69.00748
908,202,50.75666,68.52037
909,494,44.584934,70.71791
910,441,47.67921,69.78483
911,409,47.227203,69.21951
912,395,42.178818,70.44585
913,327,47.167313,70.38437
914,563,48.439705,70.11999
915,396,53.293335,70.16019
916,377,52.191986,69.93547
917,568,45.38276,70.40775
918,334,37.00745,70.1514
919,467,53.127697,70.43596
920,615,56.34973,69.9289
921,271,50.540657,69.892426
922,563,48.02593,70.449394
923,269,44.676346,69.3513
924,741,56.416946,70.58633
925,422,45.79167,70.36427
926,516,46.906887,69.987625
927,497,31.69625,69.69899
928,412,16.227936,70.1709
929,6,,
930,338,49.32901,70.19439
931,586,38.45187,70.39198
932,542,48.244884,70.32419
933,630,58.40981,71.49009
934,319,46.7124,69.94064
935,544,50.59571,70.78619
936,590,43.24983,70.372475
937,504,39.63114,69.66439
938,235,41.645363,68.7284
939,106,36.35493,66.501526
940,551,54.041492,70.885124
941,342,46.479748,69.42259
942,579,52.563038,70.4612
943,229,42.21623,69.21339
944,503,49.856487,70.49153
945,486,51.269115,69.2289
946,599,55.156197,70.685326
947,300,48.576855,70.403564
948,270,44.524696,68.35988
949,671,56.587822,70.434074
950,528,52.10091,70.39083
951,647,41.997547,70.64465
952,328,45.289074,69.73398
953,383,52.452652,69.85117
954,304,46.637627,68.580505
955,230,49.11757,68.64112
956,292,45.436554,69.97108
957,447,44.37946,70.62431
958,446,46.972332,70.473595
959,374,47.25082,70.03362
960,252,40.434944,70.300964
961,318,48.53133,70.30234
962,465,43.29021,70.49107
963,429,44.71116,69.824165
964,286,41.326,69.93421
965,538,50.391148,71.06398
966,227,51.198307,69.1061
967,916,52.31741,70.95487
968,362,46.612236,70.357025
969,273,51.02049,69.062874
970,440,52.966763,69.04896
971,460,47.75086,70.16182
972,260,40.43068,69.0469
973,199,41.18392,70.47831
974,323,38.780643,69.78773
975,346,46.747826,69.4779
976,342,41.59801,70.402916
977,159,41.312965,67.40933
978,684,54.26798,70.858025
979,269,49.54363,70.60295
980,362,50.400597,70.1776
981,599,41.99801,70.10559
982,293,51.318634,69.67037
983,321,49.344143,69.34522
984,318,46.03389,69.60637
985,192,30.868113,69.30016
986,84,41.626606,66.99052
987,304,37.076782,70.096886
988,333,48.943615,70.26426
989,193,46.604214,68.83276
990,456,44.98691,71.01487
991,147,43.126938,69.00493
992,422,51.42277,69.9144
993,123,45.773373,67.22923
994,322,38.303925,69.24567
995,428,46.319702,70.63237
996,316,42.494617,69.114
